Threads, Nodes, Volume, Max MCalcs, Avg MCalcs,,,,,,Threads,Avg. Vol,Max Mcalc/s,Avg Mcalc/s
1,100,25.313303,12.978085,12.780427,,,,,,1,25.31262175,12.978085,10.71299563
1,250,25.312627,7.329243,7.315348,,,,,,2,25.31262175,25.400357,21.07323838
1,500,25.312531,6.768436,6.765769,,,,,,4,25.31262175,49.716335,38.22332813
1,1000,25.312509,12.638896,9.387064,,,,,,8,25.31262175,99.072349,77.8232045
1,2000,25.312503,12.97449,11.896711,,,,,,16,25.31262175,113.273464,78.094355
1,3000,25.312501,12.970984,12.614605,,,,,,,,,
1,4000,25.3125,12.788095,12.227951,,,,,,,,,
1,5000,25.3125,12.965757,12.71609,,,,,,,,,
2,100,25.313303,19.150092,17.748754,,,,,,,,,
2,250,25.312627,18.935493,18.685103,,,,,,,,,
2,500,25.312531,15.623415,15.470093,,,,,,,,,
2,1000,25.312509,13.51506,13.365188,,,,,,,,,
2,2000,25.312503,25.279687,21.305961,,,,,,,,,
2,3000,25.312501,25.30911,21.850268,,,,,,,,,
2,4000,25.3125,25.400357,22.564058,,,,,,,,,
2,5000,25.3125,25.372693,23.933723,,,,,,,,,
4,100,25.313303,26.890604,25.703676,,,,,,,,,
4,250,25.312627,26.860349,26.408584,,,,,,,,,
4,500,25.312531,26.902888,26.442778,,,,,,,,,
4,1000,25.312509,26.861283,26.669863,,,,,,,,,
4,2000,25.312503,49.495014,40.417302,,,,,,,,,
4,3000,25.312501,49.507778,49.388425,,,,,,,,,
4,4000,25.3125,49.552374,47.138051,,,,,,,,,
4,5000,25.3125,49.716335,47.958721,,,,,,,,,
8,100,25.313303,89.806278,82.241077,,,,,,,,,
8,250,25.312627,53.690527,52.357477,,,,,,,,,
8,500,25.312531,53.712744,52.884813,,,,,,,,,
8,1000,25.312509,53.727543,53.350736,,,,,,,,,
8,2000,25.312503,74.629347,55.588279,,,,,,,,,
8,3000,25.312501,99.072349,97.184439,,,,,,,,,
8,4000,25.3125,99.040859,96.310235,,,,,,,,,
8,5000,25.3125,98.905989,96.487024,,,,,,,,,
16,100,25.313303,113.273464,100.165373,,,,,,,,,
16,250,25.312627,66.082341,63.181245,,,,,,,,,
16,500,25.312531,65.891454,64.592683,,,,,,,,,
16,1000,25.312509,66.134781,65.651211,,,,,,,,,
16,2000,25.312503,76.122147,70.976152,,,,,,,,,
16,3000,25.312501,75.150943,71.930612,,,,,,,,,
16,4000,25.3125,78.05767,66.388076,,,,,,,,,
16,5000,25.3125,84.04204,74.638966,,,,,,,,,
