numbodies,numsteps,numthreads,omp_schedule,grain,megabodies_per_sec
100, 200, 1,, fine, 17.827695
100, 200, 1,, fine, 17.632175
100, 200, 1,, fine, 16.833742
100, 200, 1,, fine, 17.573148
100, 200, 1,, fine, 16.935088
100, 200, 1,, fine, 17.666596
100, 200, 1,, fine, 17.632020
100, 200, 1,, fine, 17.413563
100, 200, 1,, fine, 16.306032
100, 200, 1,, fine, 13.017274
100, 200, 1,, fine, 14.296743
100, 200, 1,, fine, 13.211959
100, 200, 1,, fine, 14.483413
100, 200, 1,, fine, 13.500834
100, 200, 1,, fine, 13.952158
100, 200, 1,, fine, 13.041380
100, 200, 1,, fine, 11.062130
100, 200, 1,, fine, 11.480924
100, 200, 1,, fine, 13.658683
100, 200, 1,, fine, 14.135874
100, 200, 2,, fine, 28.790234
100, 200, 2,, fine, 29.206887
100, 200, 2,, fine, 28.210734
100, 200, 2,, fine, 27.799400
100, 200, 2,, fine, 23.567119
100, 200, 2,, fine, 29.664788
100, 200, 2,, fine, 21.195646
100, 200, 2,, fine, 11.244104
100, 200, 2,, fine, 13.835373
100, 200, 2,, fine, 22.156246
100, 200, 2,, fine, 21.687034
100, 200, 2,, fine, 19.352466
100, 200, 2,, fine, 20.649211
100, 200, 2,, fine, 18.561829
100, 200, 2,, fine, 20.087380
100, 200, 2,, fine, 21.304927
100, 200, 2,, fine, 13.206812
100, 200, 2,, fine, 21.366152
100, 200, 2,, fine, 18.562519
100, 200, 2,, fine, 21.402277
100, 200, 4,, fine, 6.535926
100, 200, 4,, fine, 30.121843
100, 200, 4,, fine, 29.793827
100, 200, 4,, fine, 11.109630
100, 200, 4,, fine, 4.004918
100, 200, 4,, fine, 36.467735
100, 200, 4,, fine, 24.449579
100, 200, 4,, fine, 32.192641
100, 200, 4,, fine, 32.299220
100, 200, 4,, fine, 29.042751
100, 200, 4,, fine, 9.130044
100, 200, 4,, fine, 17.297297
100, 200, 4,, fine, 1.196119
100, 200, 4,, fine, 9.887920
100, 200, 4,, fine, 8.749978
100, 200, 4,, fine, 18.485997
100, 200, 4,, fine, 18.356539
100, 200, 4,, fine, 4.343068
100, 200, 4,, fine, 4.361232
100, 200, 4,, fine, 13.867125
numbodies,numsteps,numthreads,omp_schedule,grain,megabodies_per_sec
100, 200, 1,, coarse, 18.658631
100, 200, 1,, coarse, 19.081056
100, 200, 1,, coarse, 19.025875
100, 200, 1,, coarse, 19.131067
100, 200, 1,, coarse, 18.755392
100, 200, 1,, coarse, 18.927743
100, 200, 1,, coarse, 18.785693
100, 200, 1,, coarse, 19.278037
100, 200, 1,, coarse, 19.090892
100, 200, 1,, coarse, 19.303342
100, 200, 1,, coarse, 19.054515
100, 200, 1,, coarse, 18.914139
100, 200, 1,, coarse, 17.903981
100, 200, 1,, coarse, 18.828137
100, 200, 1,, coarse, 19.013756
100, 200, 1,, coarse, 18.905200
100, 200, 1,, coarse, 18.959862
100, 200, 1,, coarse, 18.034102
100, 200, 1,, coarse, 18.706274
100, 200, 1,, coarse, 18.668907
100, 200, 2,, coarse, 33.854123
100, 200, 2,, coarse, 23.170407
100, 200, 2,, coarse, 22.980053
100, 200, 2,, coarse, 34.005509
100, 200, 2,, coarse, 24.435241
100, 200, 2,, coarse, 34.355407
100, 200, 2,, coarse, 37.039781
100, 200, 2,, coarse, 37.434957
100, 200, 2,, coarse, 37.200997
100, 200, 2,, coarse, 37.249497
100, 200, 2,, coarse, 37.017843
100, 200, 2,, coarse, 33.714305
100, 200, 2,, coarse, 37.085110
100, 200, 2,, coarse, 36.609251
100, 200, 2,, coarse, 36.431863
100, 200, 2,, coarse, 35.183393
100, 200, 2,, coarse, 37.118836
100, 200, 2,, coarse, 36.535019
100, 200, 2,, coarse, 37.309952
100, 200, 2,, coarse, 36.803945
100, 200, 4,, coarse, 45.273452
100, 200, 4,, coarse, 13.169678
100, 200, 4,, coarse, 7.573405
100, 200, 4,, coarse, 3.350022
100, 200, 4,, coarse, 55.621993
100, 200, 4,, coarse, 65.696548
100, 200, 4,, coarse, 31.582106
100, 200, 4,, coarse, 17.504092
100, 200, 4,, coarse, 27.277687
100, 200, 4,, coarse, 38.311241
100, 200, 4,, coarse, 23.119249
100, 200, 4,, coarse, 22.969233
100, 200, 4,, coarse, 13.248981
100, 200, 4,, coarse, 61.315838
100, 200, 4,, coarse, 61.317718
100, 200, 4,, coarse, 58.002958
100, 200, 4,, coarse, 8.342823
100, 200, 4,, coarse, 66.626691
100, 200, 4,, coarse, 61.466593
100, 200, 4,, coarse, 63.496095
NUMTHREADS,PADDING,RUNTIME,BIGINT
