NUMTHREADS,PERFORMANCE,BIGINT
1,194.046084,100000000
1,184.104594,100000000
1,191.050251,100000000
1,196.996784,100000000
1,198.11631,100000000
1,195.72191,100000000
1,197.933769,100000000
1,198.128282,100000000
1,196.680524,100000000
1,197.181196,100000000
2,387.844564,100000000
2,392.989075,100000000
2,393.423532,100000000
2,392.967454,100000000
2,389.304634,100000000
2,382.857553,100000000
2,385.726574,100000000
2,391.584075,100000000
2,390.289595,100000000
2,392.894117,100000000
4,548.912193,100000000
4,573.748976,100000000
4,591.618832,100000000
4,578.200121,100000000
4,591.428136,100000000
4,607.59063,100000000
4,563.979212,100000000
4,539.907973,100000000
4,528.224347,100000000
4,573.078218,100000000
