type,arrLength,time,attempt
seqMul, 1000, 0.000823, 0
simdMul, 1000, 0.000721, 0
seqMulRed, 1000, 0.002529, 0
simdMulRed, 1000, 0.001207, 0
seqMul, 1000, 0.000053, 1
simdMul, 1000, 0.000020, 1
seqMulRed, 1000, 0.000118, 1
simdMulRed, 1000, 0.000011, 1
seqMul, 1000, 0.000059, 2
simdMul, 1000, 0.000012, 2
seqMulRed, 1000, 0.000134, 2
simdMulRed, 1000, 0.000011, 2
seqMul, 1000, 0.000058, 3
simdMul, 1000, 0.000012, 3
seqMulRed, 1000, 0.000115, 3
simdMulRed, 1000, 0.000013, 3
seqMul, 1000, 0.000089, 4
simdMul, 1000, 0.000013, 4
seqMulRed, 1000, 0.000122, 4
simdMulRed, 1000, 0.000011, 4
seqMul, 1000, 0.000049, 5
simdMul, 1000, 0.000012, 5
seqMulRed, 1000, 0.000113, 5
simdMulRed, 1000, 0.000014, 5
seqMul, 1000, 0.000052, 6
simdMul, 1000, 0.000019, 6
seqMulRed, 1000, 0.000111, 6
simdMulRed, 1000, 0.000010, 6
seqMul, 1000, 0.000060, 7
simdMul, 1000, 0.000013, 7
seqMulRed, 1000, 0.000110, 7
simdMulRed, 1000, 0.000011, 7
seqMul, 1000, 0.000059, 8
simdMul, 1000, 0.000012, 8
seqMulRed, 1000, 0.000132, 8
simdMulRed, 1000, 0.000011, 8
seqMul, 1000, 0.000078, 9
simdMul, 1000, 0.000019, 9
seqMulRed, 1000, 0.000111, 9
simdMulRed, 1000, 0.000011, 9
seqMul, 11000, 0.000639, 0
simdMul, 11000, 0.000114, 0
seqMulRed, 11000, 0.001397, 0
simdMulRed, 11000, 0.000144, 0
seqMul, 11000, 0.000546, 1
simdMul, 11000, 0.000111, 1
seqMulRed, 11000, 0.001198, 1
simdMulRed, 11000, 0.000093, 1
seqMul, 11000, 0.000623, 2
simdMul, 11000, 0.000130, 2
seqMulRed, 11000, 0.001395, 2
simdMulRed, 11000, 0.000099, 2
seqMul, 11000, 0.000570, 3
simdMul, 11000, 0.000139, 3
seqMulRed, 11000, 0.001275, 3
simdMulRed, 11000, 0.000093, 3
seqMul, 11000, 0.000542, 4
simdMul, 11000, 0.000111, 4
seqMulRed, 11000, 0.001323, 4
simdMulRed, 11000, 0.000093, 4
seqMul, 11000, 0.000618, 5
simdMul, 11000, 0.000111, 5
seqMulRed, 11000, 0.001266, 5
simdMulRed, 11000, 0.000093, 5
seqMul, 11000, 0.000548, 6
simdMul, 11000, 0.000114, 6
seqMulRed, 11000, 0.001207, 6
simdMulRed, 11000, 0.000093, 6
seqMul, 11000, 0.000735, 7
simdMul, 11000, 0.000136, 7
seqMulRed, 11000, 0.001231, 7
simdMulRed, 11000, 0.000093, 7
seqMul, 11000, 0.000542, 8
simdMul, 11000, 0.000111, 8
seqMulRed, 11000, 0.001205, 8
simdMulRed, 11000, 0.000100, 8
seqMul, 11000, 0.000549, 9
simdMul, 11000, 0.000111, 9
seqMulRed, 11000, 0.001211, 9
simdMulRed, 11000, 0.000093, 9
seqMul, 21000, 0.001308, 0
simdMul, 21000, 0.000218, 0
seqMulRed, 21000, 0.002579, 0
simdMulRed, 21000, 0.000200, 0
seqMul, 21000, 0.001045, 1
simdMul, 21000, 0.000211, 1
seqMulRed, 21000, 0.002308, 1
simdMulRed, 21000, 0.000174, 1
seqMul, 21000, 0.001121, 2
simdMul, 21000, 0.000218, 2
seqMulRed, 21000, 0.002419, 2
simdMulRed, 21000, 0.000175, 2
seqMul, 21000, 0.001071, 3
simdMul, 21000, 0.000215, 3
seqMulRed, 21000, 0.002354, 3
simdMulRed, 21000, 0.000212, 3
seqMul, 21000, 0.001045, 4
simdMul, 21000, 0.000209, 4
seqMulRed, 21000, 0.002300, 4
simdMulRed, 21000, 0.000175, 4
seqMul, 21000, 0.001041, 5
simdMul, 21000, 0.000209, 5
seqMulRed, 21000, 0.002340, 5
simdMulRed, 21000, 0.000175, 5
seqMul, 21000, 0.001038, 6
simdMul, 21000, 0.000209, 6
seqMulRed, 21000, 0.002311, 6
simdMulRed, 21000, 0.000179, 6
seqMul, 21000, 0.001037, 7
simdMul, 21000, 0.000209, 7
seqMulRed, 21000, 0.002286, 7
simdMulRed, 21000, 0.000174, 7
seqMul, 21000, 0.001047, 8
simdMul, 21000, 0.000209, 8
seqMulRed, 21000, 0.002296, 8
simdMulRed, 21000, 0.000174, 8
seqMul, 21000, 0.001057, 9
simdMul, 21000, 0.000214, 9
seqMulRed, 21000, 0.002421, 9
simdMulRed, 21000, 0.000175, 9
seqMul, 31000, 0.001680, 0
simdMul, 31000, 0.000338, 0
